rowNumber,sku,status,imageUrl,sourceImageUrl,reason,productUrl
"10228","DBDV42PLATLPK","updated","/products/parts/dbdv42platlpk.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/21952/66333/MERIDPLA42LPK-08__84383.1749653263.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/majestic-meridian-platinum-dbdv42platin-conversion-kit-lp-dbdv42platlpk-p/dbdv42platlpk.htm"
"10229","2342-129","fetch-error","","","HTTP 404","https://www.stove-parts-unlimited.com/heat-n-glo-back-fan-shroud-2342-129-p/2342-129.htm"
"10230","SRV4042-070","updated","/products/parts/srv4042-070.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/33199/67408/SRV4042-351-1__44010.1755016500.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/heatilator-log-assembly-tray-srv4042-070-p/srv4042-070.htm"
"10231","20303558K","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/monessen-replacement-log-1-20303558k-p/20303558k.htm"
"10232","SRV736","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heat-n-glo-grand-oak-24-series-log-2-srv736-p/srv736.htm"
"10233","33CFDVSB","updated","/products/parts/33cfdvsb.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/160w/products/31704/62201/30007254-4__80068.1711383353.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/vermont-castings-safety-barrier-screen-33cfdvsb-p/33cfdvsb.htm"
"10234","034922","updated","/products/parts/034922.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/37083/56891/63D0160__89701.1664227077.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/vermont-castings-2-range-insulation-034922-p/034922.htm"
"10235","7005-108PBK","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/quadra-fire-mt-vernon-front-face-porcelain-black-7005-108pbk-p/7005-108pbk.htm"
"10236","SRV4137-302","updated","/products/parts/srv4137-302.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/41189/60911/SRV4137-109-01__87675.1691104306.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/monessen-screen-rod-36-srv4137-302-p/srv4137-302.htm"
"10237","30001658","updated","/products/parts/30001658.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/36914/56133/20005460K__56078.1659559551.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/majestic-plymouth-left-side-30001658-p/30001658.htm"
"10238","30006789A","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/vermont-castings-radiance-left-end-new-bordeaux-30006789a-p/30006789a.htm"
"10239","20004920","updated","/products/parts/20004920.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/38752/58438/20002166-01__88324.1675963745.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/vermont-castings-right-log-support-bracket-20004920-p/20004920.htm"
"10240","4065-139","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heatilator-nevo4236i-glass-heat-shield-4065-139-p/4065-139.htm"
"10241","43D0084K","updated","/products/parts/43d0084k.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/35680/58946/SRV4606-134-01__43326.1677864792.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/monessen-regulator-to-pilot-tubing-ng-43d0084k-p/43d0084k.htm"
"10242","30007442","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/vermont-castings-intrepid-flexburn-transition-door-kit-bordeaux-30007442-p/30007442.htm"
"10243","SRV16400-1145","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heat-n-glo-air-nozzle-trim-srv16400-1145-p/srv16400-1145.htm"
"10244","4031-488","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/hht-hiblu2ff-wire-assembly-4031-488-p/4031-488.htm"
"10245","81D0064K","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/monessen-replacement-log-7-81d0064k-p/81d0064k.htm"
"10246","9004200110","updated","/products/parts/9004200110.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/41409/62063/BJ-CL24.LOCKING-1__80195.1711049495.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/kamado-joe-big-joe-non-locking-caster-9004200110-p/9004200110.htm"
"10247","CFT-36-BK-C","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/majestic-clean-face-trim-black-cft-36-bk-c-p/cft-36-bk-c.htm"
"10248","2297-112","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/heat-n-glo-heatilator-pilot-bracket-2297-112-p/2297-112.htm"
"10249","20302521K","updated","/products/parts/20302521k.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/35054/68192/42D0400K-1__89377.1756828683.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/monessen-end-wall-vb-20302521k-p/20302521k.htm"
"10250","7019-161","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/quadra-fire-scraper-grill-bar-gold-7019-161-p/7019-161.htm"
"10251","LOGSMDVI35","updated","/products/parts/logsmdvi35.jpg","https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/32025/60577/GFK210MAJ-01__16781.1687531803.jpg?c=2","score=10","https://www.stove-parts-unlimited.com/majestic-ruby-series-log-assembly-logsmdvi35-p/logsmdvi35.htm"
"10252","SRV4608-122","no-real-photo","","","candidates were placeholders or failed download","https://www.stove-parts-unlimited.com/outdoor-lifestyles-courtyard-series-media-lip-srv4608-122-p/srv4608-122.htm"
"10253","20014566K","fetch-error","","","HTTP 404","https://www.stove-parts-unlimited.com/majestic-front-face-assembly-20014566k-p/20014566k.htm"
